ลำดันที่2023,ลำดันที่2024,ยอดขายปี 2024 (MB),ชื่อสินค้า (ชื่อการค้า),สารสําคัญ,ชื่อสาร,กลุ่มสาร,Strategy Group,Formulation,ลักษณะกายภาพ,คุณสมบัติเด่น (Selling point),การดูดซึมเข้าสู่พืช,กลไกการออกฤทธิ์,ลักษณะการออกฤทธิ์,ศัตรูพืชที่กำจัดได้,ใช้ได้กับพืช,วิธีใช้,ช่วงการใช้,อัตราการใช้,ความเป็นพิษต่อพืชประธาน,แถบสีข้างฉลาก,หมายเลขทะเบียน,วันทะเบียนหมดอายุ,ประเภททะเบียนผลิต,แหล่งนำเข้าสินค้า,Link ของทะเบียนสินค้า
5,11,20,อัพดาว,GLYPHOSATE ISOPROPYLAMMONIUM 48% W/V SL (IPA),ไกลโฟเสต,Herbicide,Natural,SL,น้ำ,สูตร IPA แท้ ทนฝน ตายนาน ถึงรากถึงโคน,Systemic ออกฤทธิ์แบบดูดซึม ,G : Inhibition of Enolpyruvyl Shikimate Phosphate Synthase ยับยั้งเอนไซม์ที่ทำหน้าที่ในการสังเคราะห์กรดอะมิโนจำพวกอะโรมาติก,ลักษณะการตายของวัชพืชแสดงอาการเหลือง ใน 7 วัน และแห้งตายภายใน 14 วัน,วัชพืชใบแคบ วัชพืชใบกว้าง และกก,ไม้ยืนต้น เช่น ปาล์ม ยาง,ผสมน้ำฉีดพ่นที่ใบของวัชพืชให้ทั่วถึง และ ระวังไม่ให้ละอองปลิวไปโดนพืชประธานและ พืชใกล้เคียง,ก่อนปลูกพืช และหลังปลูกพืช 2-3 เดือน (หญ้ายังไม่ออกดอก หรือความสูงไม่เกิน 30 cm),800-1000 ซีซีต่อไร่,มีความเสี่ยงเป็นพิษต่อพืชประธาน การลงหัวในมันสำปะหลัง,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//glyphosate%2048%20SL_%E0%B8%AD%E0%B8%B1%E0%B8%9E%E0%B8%94%E0%B8%B2%E0%B8%A7_17042024_094927.pdf
8,12,19,กะรัต 35,CYPERMETHRIN 35% W/V EC,ไซเปอร์เมทริน,Insecticide,Natural,EC,น้ำ,ใช้สูตรผสมตัวทำละลายอย่างดี รับประกันคุณภาพในการผลิต นำเข้าจากแหล่งผลิตที่มีคุณภาพดีที่สุด Top 3 ในโลก ,Contact ออกฤทธิ์แบบสัมผัส,"3A : Pyrethroids Sodium channel modulators (Keep sodium channels open, causing hyperexcitation and, in some cases, nerve block. Sodium channels are involved in the propagation of action potentials along nerve axons.)",ออกฤทธิ์แบบสัมผัสตาย แบบ Fast Knockdown เป็นยาน็อค ออกฤทธิ์เร็ว,แมลงและหนอน กัดกินใบ ดอก และผล,ปลอดภัยใช้ได้ทุกพืช ยกเว้นห้ามใช้ในนาข้าว,ผสมน้ำฉีดพ่นบริเวณที่ใบให้ทั่วทรงพุ่ม,ใช้บวกหรือสลับเพื่อป้องกันกำจัดแมลงและหนอนได้ทุกระยะ ตั้งแต่ แตกใบอ่อนจนถึงเก็บเกี่ยว,100-200 ซีซีต่อ 200 ลิตร,ปลอดภัย,สีเหลือง,,,,,http://system.icpladda.com/CDN//cypermethrin%2035%20EC_%E0%B8%81%E0%B8%B0%E0%B8%A3%E0%B8%B1%E0%B8%95%2035_01102024_095029.pdf
19,13,17,เบนซาน่า เอฟ,CARBENDAZIM 50% W/V SC,คาร์เบ็นดาซิม,Fungicide,Natural,SC,น้ำ,สูตรครีม เข้มข้น ดูดซึมเร็ว เกษตรกรมั่นใจ,Systemic ออกฤทธิ์แบบดูดซึม ,1 : MBC-fungicides(Methyl Benzimidazole Carbamates),ออกฤทธิ์แบบดูดซึม สามารถป้องกันกำจัดโรคได้กว้างขวาง,ใช้ป้องกันกำจัดโรคเชื้อรา เช่น แอนแทรคโนส ใบไหม้  ราสนิม ,ปลอดภัย ใช้ได้ทุกพืช,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่วบริเวณทรงพุ่ม,ใช้ป้องกันการเกิดโรคได้ทุกระยะ,100-200 ซีซีต่อ 200 ลิตร,ปลอดภัยสูง,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//carbendazim%2050%20SC_%E0%B9%80%E0%B8%9A%E0%B8%99%E0%B8%8B%E0%B8%B2%E0%B8%99%E0%B9%88%E0%B8%B2%20%E0%B9%80%E0%B8%AD%E0%B8%9F_22082024_225204.pdf
22,14,16,ไดแพ๊กซ์ 80 ดับเบิ้ลยู.จี.,AMETRYN 80% WG,อามีทริน 80,Herbicide,Natural,WG,ผง,1. ประสิทธิภาพในการกำจัดวัชพืชหลากหลาย: มีประสิทธิภาพในการกำจัดวัชพืชประเภทใบแคบ เช่น หญ้าตีนกา หญ้าตีนนก และหญ้าปากควาย รวมถึงวัชพืชประเภทใบกว้าง เช่น ผักเบี้ยหิน ผักโขมและผักโขมหนาม การออกฤทธิ์แบบดูดซึม: 2. สามารถดูดซึมผ่านทั้งรากและใบของวัชพืช และเคลื่อนย้ายภายในพืชผ่านท่อน้ำไปยังปลายยอด 3. รูปแบบสารที่ใช้งานง่าย: มาในรูปแบบเม็ด (WG) ที่ละลายน้ำได้ดี ไม่ฟุ้งกระจาย และไม่อุดตันหัวฉีด ทำให้การใช้งานสะดวกและปลอดภัยยิ่งขึ้น,Systemic ออกฤทธิ์แบบดูดซึม ,C1 : Inhbition of Photosynthesis at PSII - Serine 264 Binders,กลไกการออกฤทธิ์: อะมีทรีนยับยั้งกระบวนการสังเคราะห์แสงในระบบแสงที่ 2 (PS II) โดยขัดขวางการขนส่งอิเล็กตรอน ส่งผลให้การตรึงคาร์บอนไดออกไซด์และการสร้างพลังงานที่จำเป็นต่อการเจริญเติบโตของวัชพืชลดลง ทำให้วัชพืชใบเหลืองและแห้งตาย ,วัชพืชใบแคบ วัชพืชใบกว้าง และกก,อ้อย  ,ผสมน้ำฉีดพ่นที่ใบของวัชพืชให้ทั่วถึง และ ระวังไม่ให้ละอองปลิวไปโดนพืชประธานและ พืชใกล้เคียง   ,ใช้พ่นเพื่อกำจัดวัชพืช ในระยะหลังปลูกอ้อย ประมาณ  20-30 วัน,500 กรัม ต่อไร่,"1. ไม่ควรพ่นในพื้นที่ที่ลมแรง เพราะละอองสารอาจปลิวไปยังพืชที่ไม่ต้องการกำจัด เช่น พืชใบกว้างชนิดอื่น
 2. ใช้ในอัตราที่แนะนำเพื่อป้องกันการตกค้างและผลกระทบต่ออ้อย",สีเหลือง,,,,,http://system.icpladda.com/CDN//ametryn%2080%20WG_%E0%B9%84%E0%B8%94%E0%B9%81%E0%B8%9E%E0%B9%8A%E0%B8%81%E0%B8%8B%E0%B9%8C%2080%20%E0%B8%94%E0%B8%B1%E0%B8%9A%E0%B9%80%E0%B8%9A%E0%B8%B4%E0%B9%89%E0%B8%A5%E0%B8%A2%E0%B8%B9%E0%B8%88%E0%B8%B5_17022025_162502.pdf
24,15,16,อะนิลการ์ด,ANILOFOS 30% W/V EC,อะนิโลฟอส,Herbicide,Skyrocket,EC,น้ำ,"1. การออกฤทธิ์แบบดูดซึม: สารนี้สามารถดูดซึมผ่านรากและใบของวัชพืช หลังการใช้ วัชพืชจะหยุดการเจริญเติบโต เปลี่ยนเป็นสีเขียวคล้ำ และตายในที่สุด 2. ประสิทธิภาพในการควบคุมวัชพืชหลากหลายชนิด: มีประสิทธิภาพในการควบคุมวัชพืชใบแคบ เช่น หญ้าข้าวนก หญ้าดอกขาว และหญ้านกสีชมพู รวมถึงวัชพืชใบกว้าง เช่น ผักปอดนา และวัชพืชประเภทกก เช่น หนวดปลาดุก กกขนาก และกกทราย 3. ช่วยแก้ไขปัญหาวัชพืชที่ดื้อยาต่อสารเดิมๆที่เกษตรกรที่มีการใช้ซ้ำบ่อยๆ โดยเฉพาะ ""หญ้าข้าวนก""",Systemic ออกฤทธิ์แบบดูดซึม ,K3 : Inhibition of Very Long-Chain Fatty Acid Synthesis,การออกฤทธิ์แบบดูดซึม: สารนี้สามารถดูดซึมผ่านรากและใบของวัชพืช หลังการใช้ วัชพืชจะหยุดการเจริญเติบโต เปลี่ยนเป็นสีเขียวคล้ำ และตายในที่สุด ,ประสิทธิภาพในการควบคุมวัชพืชใบแคบ เช่น หญ้าข้าวนก หญ้าดอกขาว และหญ้านกสีชมพู รวมถึงวัชพืชใบกว้าง เช่น ผักปอดนา และวัชพืชประเภทกก เช่น หนวดปลาดุก กกขนาก และกกทราย ,นาข้าว,ผสมน้ำฉีดพ่นบริเวณที่หน้าผิวดินให้ทั่วถึง และละอองจับกับต้นวัชพืชอย่างสม่ำเสมอ,สามารถใช้หลังจากวัชพืชงอก (post-emergence) ในข้าวนาหว่านน้ำตม โดยพ่นสารหลังหว่านข้าว 7-12 วัน ก่อนพ่นสารควรระบายน้ำออกจากนา และทดน้ำเข้านาหลังพ่นสาร 1-3 วัน,อัตราใช้ 50-100 ซีซีต่อไร่ ใช้ร่วมกับ ยาคุม-ฆ่า เช่น โคเบิล อัตรา 200-250 ซีซีต่อไร่ ,"1. ไม่ควรพ่นในพื้นที่ที่ลมแรง เพราะละอองสารอาจปลิวไปยังพืชที่ไม่ต้องการกำจัด
 2. ใช้ในอัตราที่แนะนำเพื่อป้องกันการตกค้างและผลกระทบต่อข้าว
 3. ห้ามพ่นจี้หรือซ้ำอาจทำให้ข้าวยุบหรือตายได้",สีเหลือง,,,,,http://system.icpladda.com/CDN//anilofos%2030%20EC_%E0%B8%AD%E0%B8%B0%E0%B8%99%E0%B8%B4%E0%B8%A5%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94_18062024_140335.pdf
18,16,14,อิมิดาโกลด์ 70,IMIDACLOPRID 70% WG,อิมิดาคลอพริด,Insecticide,Natural,WG,ผง,ออกฤทธิ์ดูดซึมได้ดี ใช้น้อย ปลอดภัย มีประสิทธิภาพสูง ใช้ในการกำจัดแมลงปากดูด ปลอดภัยต่อสัตว์เลี้ยงลูกด้วยน้ำนมสูง,Systemic ออกฤทธิ์แบบดูดซึม ,4A : Nicotinic acetylcholine receptor (nAChR) competitive modulators,ออกฤทธิ์แบบดูดซึม ทำลายที่ระบบประสาทของแมลง ทำให้แมลงเป็นอัมพาตและตายในที่สุด ,นาข้าว : เพลี้ยไฟ เพลี้ยกระโดดสีน้ำตาล     ไม้ผล : เพลี้ยไฟ เพลี้ยแป้ง เพลี้ยไก่แจ้ เพลี้ยจักจั่น,ปลอดภัยใช้ได้ทุกพืช,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่วบริเวณทรงพุ่ม,ป้องกันแมลงประเภท ปากดูด ได้ใน ทุกระยะ เช่น ระยะแตกใบอ่อน ระยะดอก ระยะติดผล,50-100 กรัม ต่อน้ำ 200 ลิตร,ปลอดภัยสูง,สีเหลือง,,,,,http://system.icpladda.com/CDN//imidacloprid%2070%20WG_%E0%B8%AD%E0%B8%B4%E0%B8%A1%E0%B8%B4%E0%B8%94%E0%B8%B2%E0%B9%82%E0%B8%81%E0%B8%A5%E0%B8%94%E0%B9%8C%2070_13112024_111502.pdf
13,17,14,ไฮซีส,EMAMECTIN BENZOATE 2.0% W/V ME,อีมาเม็กติน 2.0 ME,Insecticide,Skyrocket,ME,น้ำ,1.เป็นสูตร ME ที่มีฤทธิ์แทรกซึมไว มีฤทธิ์อยู่ในพืชหลักได้นาน ถูกตัวตายกินตาย  2.ทุเรียน : ได้ทั้งหนอนและเพลี้ยไฟ มีระยะการควบคุมได้นานประมาณ 15-20 วัน  3.กลิ่นไม่ฉุนมาก เมื่อเทียบกับยาหนอนแบรนด์อื่น  5.ฉีดพ่นช่วงดอกได้โดยไม่เกิดการ Toxic ไม่ทำให้ดอกไหม้ และไม่มีผลต่อการผสมเกสรของดอกทุเรียน   6. เนื้อยาละลายกับน้ำเป็นสีเดียวกับน้ำ ไม่เกิดตะกอน,Translaminar ออกฤทธิ์แบบแทรกซึม ,6 : Glutamate-gated chloride channel (GluCl) allosteric modulators,ออกฤทธิ์ทั้งแบบสัมผัสตาย และกินตาย ออกฤทธิ์ได้อย่างรวดเร็ว,นาข้าว : ใช้ป้องกันกำจัด ตระกูลหนอนในนาข้าว เช่น หนอนม้วนใบข้าว หนอนกอ หนอนปลอก หนอนกระทู้คอรวง    ข้าวโพด : ใช้ป้องกันกำจัดหนอนกระทู้ข้าวโพดลายจุด   ไม้ผล : ใช้กำจัด หนอนตระกูลต่างๆ เช่น หนอนคืบ หนอนกัดใบ หนอนเจาะดอก หนอนเจาะผล,ปลอดภัยใช้ได้ทุกพืช,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่วบริเวณทรงพุ่ม,ป้องกันหนอนและแมลงได้ใน ทุกระยะ เช่น ระยะแตกใบอ่อน ระยะดอก ระยะติดผล,100-200 ซีซี ต่อน้ำ 200 ลิตร,ปลอดภัย,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//emamectin%202.0%20ME_%E0%B9%84%E0%B8%AE%E0%B8%8B%E0%B8%B5%E0%B8%AA_07012021_082728.pdf
31,18,,ชุด กล่องม่วง (แอสไปร์ + ไฮซีส ),LUFENURON 5% W/V EC+EMAMECTIN BENZOATE 2.0% W/V ME,,,,,,,,,,,,,,,,,,,,,http://system.icpladda.com/CDN//emamectin%202.0%20ME_%E0%B9%84%E0%B8%AE%E0%B8%8B%E0%B8%B5%E0%B8%AA_07012021_082728.pdf
,,14,,,ลูเฟนูรอน + อีมาเม็กติน 2.0 ME,Insecticide,Skyrocket,EC + ME,น้ำ,1.ไฮซีส เป็นสูตร ME ที่มีฤทธิ์แทรกซึมไว มีฤทธิ์อยู่ในพืชหลักได้นาน ถูกตัวตายกินตาย  2. แอสไปร์ มีคุณสมบัติในการคุมไข่ของแมลง ทำให้ลดการระบาดได้รวดเร็ว ควบคุมได้นาน และลดโอกาศการดื้อยาของแมลงได้ดี  ในทุเรียน : ใช้กำจัดได้ทั้งเพลี้ยไฟและหนอน มีระยะการควบคุมได้นานประมาณ 15-20 วัน สามารถ.ฉีดพ่นช่วงดอกได้โดยไม่เกิดการ Toxic ไม่ทำให้ดอกไหม้ และไม่มีผลต่อกระทบต่อการติดผลของทุเรียน ในนาข้าวใช้ป้องกันและกำจัดสามารถกำจัดหนอนกอข้าว หนอนม้วนใบข้าว และหนอนกระทู้คอรวงได้ดี ส่วนในข้าวโพดใช้ป้องกันและกำจัดหนอนกระทู้ลายจุดข้าวโพดได้ดี,Systemic ออกฤทธิ์แบบดูดซึม + Translaminar ออกฤทธิ์แบบแทรกซึม ,15 : Inhibitors of chitin biosynthesis affecting CHS1 + 6 : Glutamate-gated chloride channel (GluCl) allosteric modulators,ออกฤทธิ์ 2 ทางทั้งแบบสัมผัสและดูดซึม ทำลายที่ระบบประสาทของแมลง และรบกวนการสังเคราะห์ไคติน ,นาข้าว : ใช้ป้องกันกำจัด ตระกูลหนอนในนาข้าว เช่น หนอนม้วนใบข้าว หนอนกอ หนอนปลอก หนอนกระทู้คอรวง    ข้าวโพด : ใช้ป้องกันกำจัดหนอนกระทู้ข้าวโพดลายจุด   ไม้ผล : ใช้กำจัด หนอนตระกูลต่างๆ เช่น หนอนคืบ หนอนกัดใบ หนอนเจาะดอก หนอนเจาะผล,ปลอดภัยใช้ได้ทุกพืช,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่วบริเวณทรงพุ่ม,ป้องกันหนอนและแมลงได้ใน ทุกระยะ เช่น ระยะแตกใบอ่อน ระยะดอก ระยะติดผล ในนาข้าวใช้พ่นที่ระยะข้าวแตกกอจนถึงระยะก่อนเก็บเกี่ยว ส่วนในข้าวโพดแนะนำพ่นเมื่อข้าวโพดอายุ 15 และ 30 วันหลังปลูก,ใช้ผสมร่วมกันอย่างละ 100+100 ซีซี ต่อน้ำ 200 ลิตร ในนาข้าวและข้าวโพดแนะนำใช้อัตรา 62.5+62.5 ซีซีต่อไร่ หรือ 1 ชุดพ่นได้ 8 ไร่,ปลอดภัย,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//lufenuron%205%20EC_%E0%B9%81%E0%B8%AD%E0%B8%AA%E0%B9%84%E0%B8%9B%E0%B8%A3%E0%B9%8C_26112020_111102.pdf
32,19,13,แกนเตอร์,PROPANIL 36% + ANILOFOS 18% W/V EC,อะนิโลฟอส + โพรพานิล,Herbicide,Skyrocket,EC,น้ำ,"1. การออกฤทธิ์แบบดูดซึม: สารนี้สามารถดูดซึมผ่านรากและใบของวัชพืช หลังการใช้ วัชพืชจะหยุดการเจริญเติบโต เปลี่ยนเป็นสีเขียวคล้ำ และตายในที่สุด 2. ประสิทธิภาพในการควบคุมวัชพืชหลากหลายชนิด: มีประสิทธิภาพในการควบคุมวัชพืชใบแคบ เช่น หญ้าข้าวนก หญ้าดอกขาว และหญ้านกสีชมพู รวมถึงวัชพืชใบกว้าง เช่น ผักปอดนา และวัชพืชประเภทกก เช่น หนวดปลาดุก กกขนาก และกกทราย 3. ช่วยแก้ไขปัญหาวัชพืชที่ดื้อยาต่อสารเดิมๆที่เกษตรกรที่มีการใช้ซ้ำบ่อยๆ โดยเฉพาะ ""หญ้าข้าวนก""",Systemic ออกฤทธิ์แบบดูดซึม ,"ANILOFOS K3 : Inhibition of Very Long-Chain Fatty Acid Synthesis + PROPANIl จัดอยู่ในกลุ่ม C2 (HRAC Group C2)
เป็นสารที่ยับยั้งการสังเคราะห์แสงในระบบแสงที่ 2 (PSII inhibitors) โดยรบกวนการขนส่งอิเล็กตรอนในกระบวนการสังเคราะห์แสง ส่งผลให้การสร้างพลังงานของวัชพืชหยุดชะงักและตายในที่สุด","ANILOFOS   มีการออกฤทธิ์แบบดูดซึม: สารนี้สามารถดูดซึมผ่านรากและใบของวัชพืช ซึ่งออกฤทธิ์ยับยั้งเอนไซม์ที่เกี่ยวข้องกับการสร้างกรดไขมันสายยาว (Long-chain fatty acid synthesis inhibitors)หลังการใช้ วัชพืชจะหยุดการเจริญเติบโต เปลี่ยนเป็นสีเขียวคล้ำ และตายในที่สุด  PROPANIl จัดอยู่ในกลุ่ม C2 (HRAC Group C2)
เป็นสารที่ยับยั้งการสังเคราะห์แสงในระบบแสงที่ 2 (PSII inhibitors) โดยรบกวนการขนส่งอิเล็กตรอนในกระบวนการสังเคราะห์แสง ส่งผลให้การสร้างพลังงานของวัชพืชหยุดชะงักและตายในที่สุด",ประสิทธิภาพในการควบคุมวัชพืชใบแคบ  เช่น หญ้าข้าวนก หญ้าดอกขาว และหญ้านกสีชมพู รวมถึงวัชพืชใบกว้าง เช่น ผักปอดนา และวัชพืชประเภทกก เช่น หนวดปลาดุก กกขนาก และกกทราย ,นาข้าว,ผสมน้ำฉีดพ่นบริเวณที่หน้าผิวดินให้ทั่วถึง และละอองจับกับต้นวัชพืชอย่างสม่ำเสมอ,สามารถใช้หลังจากวัชพืชงอก (post-emergence) ในข้าวนาหว่านน้ำตม โดยพ่นสารหลังหว่านข้าว 8-14 วัน ก่อนพ่นสารควรระบายน้ำออกจากนา และทดน้ำเข้านาหลังพ่นสาร 1-3 วัน,200-250 ซีซีต่อไร่,"1. ไม่ควรพ่นในพื้นที่ที่ลมแรง เพราะละอองสารอาจปลิวไปยังพืชที่ไม่ต้องการกำจัด 
 2. ใช้ในอัตราที่แนะนำเพื่อป้องกันการตกค้างและผลกระทบต่อข้าว
 3. ห้ามพ่นจี้หรือซ้ำอาจทำให้ข้าวยุบหรือตายได้",สีเหลือง,,,,,http://system.icpladda.com/CDN//propanil_anilofos_%E0%B9%81%E0%B8%81%E0%B8%99%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C_15072025_162840.pdf
10,20,12,โฮป,FIPRONIL 0.3% GR,ฟิโพรนิล 0.3 GR,Insecticide,Skyrocket,GR,ทราย,1. เม็ดสีม่วงเข้มสด ขนาดของเม็ดสม่ำเสมอ ไม่มีสิ่งเจือปน ไม่มีกลิ่น  2.หว่านง่าย ไม่ติดมือ และเครื่องฉีดพ่น ไม่มีกลิ่นและไม่มีฝุ่นผงรบกวนการใช้ของเกษตรกร  3.ไม่มีความชื้น ด้วยกระบวนการผลิตที่มีคุณภาพของทางโรงงาน และเรายังรับประกันถ้าเกิดความชื้นที่เกิดจากเนื้อยาภายใน 2 ปี  ,Systemic ออกฤทธิ์แบบดูดซึม ,"2B : Phenylpyrazoles (Fiproles) (GABA-gated chloride channel blockers) Block the GABA-activated chloride channel, causing hyperexcitation and convulsions. GABA is the major inhibitory neurotransmitter in insects.",สามารถดูดซึมผ่านทางราก ไปทางท่อน้ำ Xylem ทำให้ออกฤทธิ์ในการป้องกันแมลงที่เข้ามาทำลายบริเวณโคนต้น และจับกับเนื้อดินได้นาน เมื่อแมลงเจาะเข้ามาบริเวณทรงพุ่มสัมผัสกับตัวยาออกฤทธิ์อยู่ ทำให้แมลงตายจึงสามารถป้องกันแมลงที่จะเข้ามาทำลายใต้ดินได้,"นาข้าว: เพลี้ยไฟ หนอนกอ หนอนม้วนใบ เพลี้ยกระโดดสีน้ำตาล บั่ว
    อ้อย: หนอนกออ้อย เพลี้ยจักจั่น ด้วงหนวดยาว ปลวก
    ผัก: ด้วงหมัดผัก
    ไม้ผล: แมลงปีกแข็ง ด้วงต่างๆ หนอนเจาะลำต้น
","นาข้าว พืชไร่ (อ้อย,ข้าวโพด) พืชผัก และไม้ผล",ใช้หว่าน ให้ทั่วพื้นที่ หรือ ใส่รองก้นหลุม ตามอัตราที่แนะนำ,"นาข้าว ใช้หว่านในระยะข้าวอายุ 20 วันหรือพร้อมการหว่านปุ๋ยครั้งแรก เพื่อป้องกัน หนอนกอ เพลี้ยกระโดดสีน้ำตาล และบั่ว
   
 อ้อย: ระยะก่อนปลูกพืชประธาน ใช้รองก้นหลุมหรือ โรยในร่องปลูกบริเวณใกล้ๆกับราก เพื่อป้องกัน หนอนกออ้อย ด้วงหนวดยาว ปลวก
 
    ไม้ผล(ทุเรียน): ระยะก่อนปลูกพืชประธาน ใช้รองก้นหลุม หรือโรยบริเวณใกล้ๆโคนต้น เพื่อป้องกัน  แมลงในดิน กัดกินราก ทำลายโคนต้น เช่น ปลวก มอด  หนอนเจาะลำต้น","นาข้าวใช้ 3-5 กก. ต่อไร่ 
 
 พืชไร่ใช้ 3-5 กก. ต่อไร่ 
 
 ไม้ผล(ทุเรียน) ใช้ 100 กรัมต่อต้น ",ปลอดภัยสูง,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//fipronil%200.3%20GR_%E0%B9%82%E0%B8%AE%E0%B8%9B_28062022_105809.pdf
21,21,12,เกรค 5 เอสซี,FIPRONIL 5% W/V SC,ฟิโพรนิล 5 SC,Insecticide,Natural,SC,น้ำ,สููตรครีม ยาเย็น ปลอดภัย ใช้สะดวก สามารถกำจัดแมลงได้หลากหลายชนิด,Systemic ออกฤทธิ์แบบดูดซึม ,"2B : Phenylpyrazoles (Fiproles) (GABA-gated chloride channel blockers) Block the GABA-activated chloride channel, causing hyperexcitation and convulsions. GABA is the major inhibitory neurotransmitter in insects.",ออกฤทธิ์แบบดูดซึม ทำลายระบบประสาทของแมลงที่จุดรับ GABA ,"นาข้าว: เพลี้ยไฟ หนอนกอ หนอนม้วนใบ เพลี้ยกระโดดสีน้ำตาล บั่ว
    อ้อย: หนอนกออ้อย เพลี้ยจักจั่น ด้วงหนวดยาว ปลวก
    ผัก: ด้วงหมัดผัก
    ไม้ผล: เพลี้ยไฟ แมลงปีกแข็ง ด้วงต่างๆ หนอนต่างๆ
    ข้าวโพด: หนอนกระทู้ในข้าวโพด",ปลอดภัยใช้ได้ทุกพืช,ผสมน้ำตามอัตราที่แนะนำ แล้วทำการฉีดพ่นที่ต้น ให้ทั่วบริเวณทรงพุ่ม,ป้องกันหนอนและแมลงได้ใน ทุกระยะ เช่น ระยะแตกใบอ่อน ระยะดอก ระยะติดผล,100-200 ซีซี ต่อน้ำ 200 ลิตร,ปลอดภัยสูง,สีน้ำเงิน,,,,,http://system.icpladda.com/CDN//fipronil%205%20SC_%E0%B9%80%E0%B8%81%E0%B8%A3%E0%B8%84%205%20%E0%B9%80%E0%B8%AD%E0%B8%AA%E0%B8%8B%E0%B8%B5_22082024_224316.pdf
23,22,12,โคเบิล ,CLOMAZONE 12%+PROPANIL 27%  W/V EC,โครมาโซน + โพรพานิล,Herbicide,Natural,EC,น้ำ,1. การมีสาร 2 กลุ่มออกฤทธิ์ร่วมกัน: ทำให้ช่วยเพิ่มประสิทธิภาพในการกำจัดวัชพืชได้ดีขึ้น 2. ประสิทธิภาพสูงในการกำจัดวัชพืชหลากหลายชนิด 3. ความปลอดภัยต่อพืชปลูก: สารนี้มีความปลอดภัยต่อข้าวปลูก เนื่องจากมีฤทธิ์เลือกทำลายเฉพาะวัชพืช โดยหล่อน้ำท่วมข้าวได้ ข้าวไม่ตาย,Systemic ออกฤทธิ์แบบดูดซึม ,"CLOMAZONE จัดอยู่ในกลุ่ม F3 (HRAC Group F3) เป็นสารที่ยับยั้งการสังเคราะห์เม็ดสี (carotenoid biosynthesis inhibitor) โดยขัดขวางเอนไซม์ DOXP reductoisomerase (1-deoxy-D-xylulose 5-phosphate reductoisomerase) ทำให้วัชพืชขาดเม็ดสีที่จำเป็นและใบซีดขาวก่อนตาย  และ PROPANIl จัดอยู่ในกลุ่ม C2 (HRAC Group C2)
เป็นสารที่ยับยั้งการสังเคราะห์แสงในระบบแสงที่ 2 (PSII inhibitors) โดยรบกวนการขนส่งอิเล็กตรอนในกระบวนการสังเคราะห์แสง ส่งผลให้การสร้างพลังงานของวัชพืชหยุดชะงักและตายในที่สุด",โคลมาโซนเป็นสารคุมวัชพืชที่ยับยั้งการสร้างเม็ดสีของวัชพืช โดยขัดขวางการสังเคราะห์ DOXP ที่เกี่ยวข้องกับการสังเคราะห์ด้วยแสง ส่วนโพรพานิลเป็นสารฆ่าวัชพืชที่ยับยั้งการสังเคราะห์ด้วยแสงในระบบแสงที่ 2 (PS II) โดยขัดขวางการขนส่งอิเล็กตรอน,สามารถกำจัดวัชพืชประเภทใบแคบ เช่น หญ้าข้าวนก หญ้าดอกขาว และหญ้านกสีชมพู รวมถึงวัชพืชประเภทใบกว้าง เช่น ผักปอดนา และเทียนนา และวัชพืชประเภทกก เช่น หนวดปลาดุก กกทราย และกกขนาก,นาข้าว,ผสมน้ำฉีดพ่นบริเวณที่หน้าผิวดินให้ทั่วถึง และละอองจับกับต้นวัชพืชอย่างสม่ำเสมอ,สามารถใช้หลังจากวัชพืชงอก (post-emergence) ในข้าวนาหว่านน้ำตม โดยพ่นสารหลังหว่านข้าว 7-12 วัน ก่อนพ่นสารควรระบายน้ำออกจากนา และทดน้ำเข้านาหลังพ่นสาร 1-3 วัน,200-250 ซีซีต่อไร่,"1. ไม่ควรพ่นในพื้นที่ที่ลมแรง เพราะละอองสารอาจปลิวไปยังพืชที่ไม่ต้องการกำจัด เช่น พืชใบกว้างชนิดอื่น
 2. ใช้ในอัตราที่แนะนำเพื่อป้องกันการตกค้างและผลกระทบต่อข้าว
 ",สีเหลือง,,,,,http://system.icpladda.com/CDN//clomazone_propanil_%E0%B9%82%E0%B8%84%E0%B9%80%E0%B8%9A%E0%B8%B4%E0%B8%A5_25032025_115127.pdf
